GlobalLeftX,GlobalLeftY,GlobalRightX,GlobalRightY
22328,2032,22472,1986
22629,1549,22816,1515
22671,1466,22858,1397
22847,1417,23202,1390
22879,1364,23232,1333
22956,1420,23314,1404
22652,1307,23012,1261
22673,1254,23040,1210
22786,1282,23167,1256
23059,1406,23412,1390
23015,1298,23377,1272
22970,1251,23323,1224
22868,1190,23225,1139
22912,1106,23289,1069
22786,1647,23144,1609
22716,1798,23067,1784
22543,1300,22905,1244
22681,1876,23036,1861
22699,1406,23052,1369
22788,1399,23155,1356
22629,2011,22994,1999
22828,1238,23202,1200
22933,1555,23314,1525
28726,1504,29009,1567
28738,1441,29019,1504
28796,1450,29086,1523
28790,1508,29075,1583
28747,1527,29019,1604
28740,1581,29014,1647
28804,1532,29077,1611
28792,1595,29070,1667
28731,1607,29002,1686
28796,1619,29066,1696
28722,1675,28997,1742
28785,1675,29065,1754
28862,1626,29161,1707
28853,1691,29149,1770
28927,1635,29241,1719
28911,1702,29227,1791
29012,1647,29294,1729
29072,1658,29348,1735
29002,1712,29283,1787
29065,1719,29343,1792
29166,1681,29446,1749
29211,1684,29502,1757
29159,1726,29435,1806
29206,1735,29493,1813
28869,1544,29180,1619
28928,1556,29236,1626
28867,1595,29173,1672
28925,1602,29238,1686
29023,1541,29306,1616
29035,1483,29322,1562
29100,1492,29381,1567
29087,1548,29372,1633
29189,1511,29477,1586
29236,1513,29533,1597
29184,1556,29463,1639
29239,1567,29521,1654
29080,1146,29370,1200
29091,1086,29384,1141
29156,1097,29447,1153
29143,1158,29430,1212
28691,1745,28979,1826
28747,1747,29040,1836
28680,1803,28962,1887
28747,1812,29038,1908
7042,1247,7108,1179
6884,1343,6982,1259
6746,1515,6862,1378
6717,1649,6825,1515
6664,1644,6767,1497
7038,1523,7136,1422
6619,1826,6720,1696
6657,1833,6760,1708
6404,1979,6554,1869
6406,1881,6514,1743
6365,1911,6474,1782
6844,1570,6939,1462
7192,1854,7309,1665
7204,1702,7314,1509
7323,1609,7437,1408
7374,1612,7507,1422
7356,1857,7493,1668
7531,1873,7673,1681
7547,1501,7669,1303
7555,1373,7673,1179
7873,1392,8017,1196
7856,1883,7991,1693
7540,1684,7678,1495
7449,1686,7573,1488
7440,1799,7573,1611
7534,1803,7673,1614
7713,1383,7852,1188
7693,1878,7830,1691
7615,1696,7735,1509
7437,1497,7585,1298
7873,1501,8020,1315
7454,1167,7419,1184
7513,1100,7507,1111
7402,1245,7382,1251
7195,1796,7309,1588
7285,1796,7398,1595
7643,1378,7770,1186
7804,1387,7950,1191
7863,1689,8003,1497
7409,1560,7545,1363
7866,1597,8013,1397
7264,1651,7377,1462
8620,1761,8737,1583
8578,1920,8686,1806
8649,1770,8793,1604
8600,1441,8702,1252
8527,1728,8625,1527
8518,1632,8572,1401
8434,1612,8503,1382
8352,1803,8434,1600
8448,1420,8539,1219
8544,1529,8606,1310
8448,1509,8536,1296
8600,1840,8714,1686
8637,1848,8775,1696
8824,1806,8985,1623
9514,1796,9652,1660
9548,1651,9693,1495
9485,1946,9635,1763
9423,1946,9523,1787
9453,1957,9582,1794
9361,1605,9453,1445
9329,1761,9418,1604
9535,1724,9677,1590
9413,2009,9500,1901
9441,2016,9565,1908
9586,1584,9710,1390
9728,1607,9876,1417
9811,1579,9969,1392
9895,1441,10087,1291
9652,1985,9780,1824
9665,1955,9792,1792
9783,2021,9932,1880
9801,1993,9946,1850
9299,1901,9401,1710
9291,1925,9385,1750
10650,11341,10661,11318
10641,11381,10645,11353
10587,11356,10587,11339
10524,11386,10529,11371
10473,11369,10473,11350
10391,11408,10402,11394
10300,11389,10286,11370
10804,11295,10823,11305
10857,11369,10882,11402
10896,11472,10918,11482
10855,11483,10866,11478
10826,11542,10825,11534
10816,11601,10809,11607
10825,11667,10818,11670
10856,11729,10850,11731
10808,11796,10797,11791
10766,11877,10744,11879
10315,12088,10340,12100
10429,12126,10464,12138
10544,12161,10585,12174
10657,12195,10712,12215
14952,11555,15036,11762
14901,11546,14971,11744
14844,11787,14910,11990
14914,11807,14991,12014
14879,11630,14953,11834
14866,11696,14934,11908
14949,11707,15019,11923
15198,11786,15276,11980
15153,11949,15232,12152
15233,11969,15322,12173
15246,11723,15334,11919
15170,11858,15260,12060
14656,11759,14715,11948
14409,11696,14471,11859
14680,11486,14751,11688
14533,11448,14602,11649
14666,11521,14738,11734
14653,11579,14722,11793
14641,11640,14705,11855
14531,11486,14598,11694
14514,11536,14564,11765
14497,11607,14560,11815
19592,11306,19770,11433
